,TTI
0,1.1212115
1,1.0466619
2,1.0575022
3,1.6180251
4,1.7123576
5,1.772944
6,1.1975236
7,1.1701199
8,1.1228529
9,1.4783845
10,1.4762313
11,1.5061177
12,1.5566044
13,1.4744769
14,1.5706426
15,1.6650728
16,1.5398331
17,1.5298032
18,1.6497175
19,1.5740062
20,1.6198515
21,1.6381112
22,1.7089112
23,1.8192639
24,1.2693925
25,1.3623579
26,1.3329213
27,1.2410452
28,1.333776
29,1.4138987
30,1.181614
31,1.1618218
32,1.1762974
33,1.2075703
34,1.1701035
35,1.1238089
36,1.3469157
37,1.3581817
38,1.4140136
39,1.2101462
40,1.1235912
41,1.2108097
42,1.1971068
43,1.4697263
44,1.3436105
45,1.4328396
46,1.5535958
47,1.410236
48,1.6319778
49,1.7095122
50,1.6502084
51,1.4147447
52,1.4046645
53,1.4080057
54,1.709979
55,1.6584066
56,1.5701587
57,1.5109481
58,1.5057819
59,1.6394187
60,1.5524508
61,1.6564938
62,1.5912358
63,1.3209987
64,1.7717723
65,1.7983023
66,1.5699552
67,1.3053269
68,1.3108673
69,1.1381831
70,1.1377176
71,1.1414891
72,1.4162276
73,1.4588702
74,1.4931976
75,1.3435426
76,1.4409978
77,1.6935909
78,1.445039
79,1.1622143
80,1.3539231
81,1.0871477
82,1.0472486
83,1.2388668
84,1.1660275
85,1.1419327
86,1.1286335
87,1.1377534
88,1.1298409
89,1.1648868
90,1.190764
91,1.1956174
92,1.2107573
93,1.218765
94,1.2207845
95,1.2220964
96,1.3543948
97,1.3529885
98,1.2142873
99,1.391135
100,1.4002941
101,1.5801167
102,1.3781383
103,1.3815519
104,1.2185893
105,1.5659637
106,1.5127485
107,1.3629962
108,1.2729211
109,1.3334615
110,1.1905336
111,1.1445739
112,1.1611484
113,1.1344297
114,1.1368865
115,1.1585367
116,1.156954
117,1.1609819
118,1.1315469
119,1.1181154
120,1.1736624
121,1.1615443
122,1.1310606
123,1.220736
124,1.4395456
125,1.5563971
126,1.1283461
127,1.1478329
128,1.1309898
129,1.150993
130,1.1545742
131,1.145936
132,1.1794167
133,1.182765
134,1.1771224
135,1.1402395
136,1.1410508
137,1.1671636
138,1.1578484
139,1.1563148
140,1.1638896
141,1.1180292
142,1.1421158
143,1.1328253
144,1.0851468
145,1.1003582
146,1.0922232
147,1.0787612
148,1.0329437
149,1.1424696
150,1.1771803
151,1.1103144
152,1.1479197
153,1.1598592
154,1.1913569
155,1.1737912
156,1.2125947
157,1.1920084
158,1.23598
159,1.2178525
160,1.1622287
161,1.2318327
162,1.2076294
163,1.1444951
164,1.1706388
165,1.1372179
166,1.0573856
167,1.1496534
168,1.1443788
169,1.1355165
170,1.1310786
171,1.175539
172,1.1736511
173,1.1597283
174,1.1203283
175,1.1289324
176,1.1188648
177,1.1446507
178,1.1506648
179,1.1535821
180,1.1548312
181,1.1655167
182,1.1790407
183,1.1713872
184,1.1851602
185,1.1980194
186,1.1263661
187,1.1034771
188,1.2388732
189,1.6958419
190,1.844494
191,1.4886315
192,1.1686647
193,1.1800379
194,1.1405714
195,1.1157496
196,1.1120124
197,1.1254991
198,1.1904576
199,1.2266816
200,1.3339009
201,1.2382339
202,1.4887862
203,1.5476581
204,1.2936115
205,1.5171708
206,1.6609459
207,1.1963477
208,1.4520848
209,1.653642
210,1.4771414
211,1.4338462
212,1.4828309
213,1.5398805
214,1.5339555
215,1.6099207
216,1.8257223
217,1.7391539
218,1.8476166
219,1.5471882
220,1.5673661
221,1.6432868
222,1.6482615
223,1.722662
224,1.6397341
225,1.6885008
226,1.6809057
227,1.576076
228,1.3663077
229,1.314982
230,1.2400199
231,1.2396438
232,1.2298733
233,1.2503633
234,1.4280777
235,1.4352124
236,1.3663319
237,1.6118575
238,1.7675881
239,1.685361
240,2.475159
241,2.3131113
242,2.2064452
243,1.6579888
244,1.567019
245,1.8510545
246,1.4480646
247,1.6296992
248,1.5278028
249,1.5094967
250,1.8087755
251,1.901386
252,1.0211343
253,1.0526412
254,1.0538113
255,1.1162183
256,1.1109693
257,1.1024365
258,1.1230347
259,1.0829322
260,1.1716199
261,1.2606837
262,1.2450417
263,1.2762021
264,1.4926378
265,1.6316637
266,1.5338858
267,1.6861862
268,1.5021938
269,1.5902938
270,1.7048812
271,1.4724083
272,1.5509753
273,1.6629629
274,1.7618195
275,1.7870402
276,1.2303092
277,1.4399676
278,1.2971332
279,1.2389126
280,1.2516906
281,1.2072296
282,1.5580541
283,1.6114831
284,1.3997853
285,1.0706232
286,1.0984647
287,1.078471
288,1.7619865
289,1.7742501
290,1.8569353
291,1.5525153
292,1.3559937
293,1.3247106
294,1.2385783
295,1.6331067
296,1.3051736
297,1.1302826
298,1.1365545
299,1.1587036
300,1.420726
301,1.4977512
302,1.5271257
303,1.079648
304,1.1289098
305,1.2816069
306,1.4584681
307,1.6216661
308,1.5257254
309,1.2441359
310,1.1484935
311,1.1888292
312,1.2422445
313,1.2958574
314,1.380209
315,1.3710309
316,1.5283105
317,1.3108567
318,1.467233
319,1.3007712
320,1.5039841
321,1.1600738
322,1.0905774
323,1.1634963
324,1.2144989
325,1.272207
326,1.3638937
327,1.1699756
328,1.1970005
329,1.2655028
330,1.131738
331,1.2194386
332,1.3202677
333,1.1170895
334,1.1835861
335,1.3759646
336,1.247065
337,1.1946983
338,1.227581
339,1.1349323
340,1.1610622
341,1.1457742
342,1.1954105
343,1.1826714
344,1.1833082
345,1.2105443
346,1.1563008
347,1.1822635
348,1.2808517
349,1.2909229
350,1.4479876
351,1.4475638
352,1.5410396
353,1.3707168
354,1.4038689
355,1.4241393
356,1.1660669
357,1.5727262
358,1.5371268
359,1.4134976
360,1.1044486
361,1.0975602
362,1.1558946
363,1.1656897
364,1.1748729
365,1.139543
366,1.1438115
367,1.138336
368,1.1391954
369,1.2845569
370,1.37414
371,1.4350604
372,1.2145416
373,1.2380202
374,1.2323585
375,1.1776028
376,1.212699
377,1.3310997
378,1.145674
379,1.1366303
380,1.1121337
381,1.1490314
382,1.1489055
383,1.1555439
384,1.1507559
385,1.1535909
386,1.1504159
387,1.1558846
388,1.1481379
389,1.1452444
390,1.1684461
391,1.1747963
392,1.1488729
393,1.1510463
394,1.152325
395,1.169988
396,1.0728921
397,1.1001974
398,1.0865245
399,1.0487766
400,1.0466652
401,1.0226421
402,1.0956118
403,1.0396905
404,1.047323
405,1.0964551
406,1.0739051
407,1.161393
408,1.168349
409,1.1677575
410,1.2022662
411,1.2336993
412,1.2283323
413,1.1952214
414,1.2471502
415,1.1710984
416,1.1747241
417,1.1913142
418,1.1944394
419,1.1923878
420,1.104631
421,1.1064569
422,1.0868101
423,1.1451168
424,1.1361454
425,1.1610479
426,1.1291282
427,1.1460142
428,1.1274412
429,1.1674575
430,1.142175
431,1.1429992
432,1.1213632
433,1.121294
434,1.1236588
435,1.1433766
436,1.146594
437,1.1385379
438,1.1360576
439,1.1147923
440,1.2368512
441,1.2700007
442,1.222801
443,1.1383555
444,1.1509593
445,1.147654
446,1.1302539
447,1.119193
448,1.1163436
449,1.1282573
450,1.165744
451,1.1693907
452,1.1677613
453,1.1680894
454,1.1928039
455,1.1944878
456,1.1631916
457,1.1932656
458,1.2421076
459,1.2258586
