,TTI
0,1.3773291
1,1.334192
2,1.342293
3,1.4096575
4,1.370542
5,1.3143581
6,1.3875432
7,1.3447514
8,1.3666117
9,1.2928511
10,1.3817235
11,1.3086941
12,1.2991407
13,1.3307252
14,1.2389549
15,1.2349218
16,1.2870421
17,1.177176
18,1.1983321
19,1.230713
20,1.1755277
21,1.2244983
22,1.4771168
23,1.3138596
24,1.2117739
25,1.5007778
26,1.436605
27,1.2464838
28,1.2696099
29,1.2382121
30,1.0631716
31,1.0719948
32,1.107414
33,1.1725599
34,1.2077672
35,1.3733356
36,1.1491263
37,1.4165108
38,1.4060938
39,1.1536686
40,1.3783939
41,1.4468306
42,1.1985755
43,1.2688978
44,1.0578249
45,1.1568162
46,1.0866661
47,1.0715277
48,1.1094482
49,1.0904462
50,1.113279
51,1.2628143
52,1.2134917
53,1.1486379
54,1.6010001
55,1.2838109
56,1.1514084
57,1.4386976
58,1.2078214
59,1.1853707
60,1.4525223
61,1.3134129
62,1.2496701
63,1.006543
64,1.0076318
65,1.0388012
66,0.9936189
67,1.0009003
68,1.0187708
69,0.99874663
70,1.0287764
71,1.0240326
72,0.9559892
73,0.9709875
74,0.9963748
75,1.1660477
76,1.2571274
77,1.2171491
78,1.2904103
79,1.358253
80,1.4167747
81,1.2969396
82,1.484336
83,1.4622145
84,1.098608
85,1.1137843
86,1.091012
87,1.1016757
88,1.0985234
89,1.1006782
90,1.1239022
91,1.1419928
92,1.1209376
93,1.1192186
94,1.1254959
95,1.1250317
96,1.1673708
97,1.1089118
98,1.1695712
99,1.2098105
100,1.1447937
101,1.1796826
102,1.109997
103,1.1089237
104,1.1310711
105,1.1169095
106,1.1341633
107,1.1168358
108,1.1480185
109,1.1633053
110,1.1409787
111,1.1506131
112,1.150811
113,1.1414914
114,1.1626476
115,1.1541057
116,1.14131
117,1.140176
118,1.1471252
119,1.2046111
120,1.1504991
121,1.1555432
122,1.1459341
123,1.1392219
124,1.1730201
125,1.2016315
126,1.1232519
127,1.1309786
128,1.1409001
129,1.2130044
130,1.228026
131,1.2149446
132,1.1921365
133,1.1941516
134,1.1844285
135,1.1910121
136,1.2160456
137,1.1946601
138,1.2351682
139,1.2264475
140,1.1394246
141,1.1461341
142,1.2224383
143,1.1508057
144,1.1280015
145,1.1416382
146,1.1297559
147,1.0848804
148,1.0992612
149,1.0774407
150,1.0840752
151,1.1160523
152,1.0831252
153,1.1011932
154,1.1026771
155,1.081579
156,1.1381617
157,1.1346681
158,1.082767
159,1.1700463
160,1.1559947
161,1.4820465
162,1.1575027
163,1.1439238
164,1.5535895
165,1.1737683
166,1.1877644
167,1.4484861
168,1.2037035
169,1.1639512
170,1.1524282
171,1.1535876
172,1.1203828
173,1.139194
174,1.1920496
175,1.1934185
176,1.1699526
177,1.216159
178,1.1982232
179,1.2178768
180,1.2274036
181,1.2184923
182,1.2205157
183,1.9884422
184,1.8004961
185,1.3697214
186,1.3488233
187,1.4759753
188,1.180501
189,1.1884029
190,1.2503157
191,1.1705215
192,1.1739115
193,1.1626768
194,1.1757979
195,1.146157
196,1.1438341
197,1.1546073
198,1.1664041
199,1.1656315
200,1.1751959
201,1.2313015
202,1.2906237
203,1.1796429
204,1.3727121
205,1.4644837
206,1.5945728
207,1.5849141
