,NanPing_W2E,NanPing_E2W,FuLong_S2N,FuLong_N2S,LiuXian_W2E,LiuXian_E2W,YuLong_S2N,YuLong_N2S,XinQu_S2N,XinQu_N2S,ZhiYuan_S2N,ZhiYuan_N2S
1575127800,5,5,8,8,5,5,0,0,0,0,0,0
1575129600,12,12,8,8,4,4,5,5,7,7,0,0
1575131400,5,5,4,4,0,0,0,0,0,0,0,0
1575133200,3,3,0,0,0,0,6,6,0,0,0,0
1575136800,3,3,0,0,0,0,0,0,0,0,0,0
1575140400,0,0,10,10,8,8,0,0,0,0,0,0
1575142200,9,9,3,3,0,0,0,0,15,15,0,0
1575147600,0,0,0,0,0,0,0,0,5,5,0,0
1575149400,0,0,0,0,0,0,6,6,0,0,0,0
1575151200,9,9,9,9,0,0,5,5,0,0,6,6
1575153000,0,0,3,3,0,0,9,9,0,0,0,0
1575154800,17,17,11,11,0,0,52,52,0,0,11,11
1575156600,7,7,4,4,4,4,32,32,0,0,11,11
1575158400,7,7,19,19,15,15,47,47,30,30,2,2
1575160200,10,10,3,3,6,6,37,37,47,47,0,0
1575162000,7,7,7,7,0,0,5,5,4,4,5,5
1575163800,3,3,4,4,10,10,75,75,0,0,8,8
1575165600,18,18,12,12,11,11,47,47,0,0,0,0
1575167400,22,22,16,16,18,18,71,71,1,1,0,0
1575169200,4,4,0,0,8,8,84,84,4,4,13,13
1575171000,7,7,4,4,0,0,72,72,23,23,0,0
1575172800,4,4,14,14,0,0,8,8,5,5,6,6
1575174600,10,10,3,3,10,10,46,46,35,35,34,34
1575176400,14,14,11,11,19,19,129,129,23,23,26,26
1575178200,13,13,23,23,21,21,117,117,75,75,56,56
1575180000,29,29,9,9,6,6,163,163,0,0,25,25
1575181800,30,30,14,14,12,12,94,94,10,10,1,1
1575183600,22,22,25,25,24,24,282,282,0,0,45,45
1575185400,35,35,27,27,31,31,88,88,18,18,40,40
1575187200,36,36,10,10,7,7,55,55,64,64,72,72
1575189000,40,40,10,10,0,0,53,53,0,0,48,48
1575190800,8,8,23,23,7,7,154,154,0,0,37,37
1575192600,32,32,5,5,0,0,84,84,0,0,7,7
1575194400,0,0,22,22,22,22,122,122,10,10,71,71
1575196200,19,19,11,11,0,0,39,39,0,0,0,0
1575198000,34,34,6,6,4,4,89,89,0,0,25,25
1575199800,19,19,20,20,8,8,30,30,5,5,0,0
1575201600,13,13,12,12,0,0,49,49,23,23,13,13
1575203400,15,15,10,10,9,9,41,41,29,29,46,46
1575205200,14,14,16,16,11,11,27,27,53,53,38,38
1575207000,4,4,8,8,27,27,39,39,20,20,34,34
1575208800,23,23,26,26,19,19,18,18,50,50,17,17
1575210600,64,64,16,16,7,7,31,31,0,0,0,0
1575212400,12,12,0,0,4,4,94,94,0,0,0,0
1575313200,3,3,0,0,0,0,0,0,4,4,0,0
1575318600,5,5,0,0,0,0,0,0,0,0,0,0
1575324000,0,0,0,0,2,2,25,25,0,0,0,0
1575327600,0,0,18,18,6,6,14,14,0,0,14,14
1575329400,0,0,3,3,0,0,18,18,0,0,13,13
1575331200,0,0,15,15,13,13,64,64,0,0,0,0
1575333000,0,0,0,0,7,7,34,34,22,22,0,0
1575334800,4,4,0,0,14,14,0,0,10,10,0,0
1575336600,0,0,0,0,0,0,0,0,56,56,0,0
1575338400,86,86,0,0,0,0,0,0,0,0,0,0
1575340200,15,15,23,23,13,13,0,0,62,62,0,0
1575342000,5,5,0,0,0,0,4,4,0,0,0,0
1575347400,0,0,0,0,0,0,27,27,38,38,11,11
1575349200,0,0,7,7,5,5,9,9,6,6,7,7
1575351000,6,6,12,12,0,0,18,18,0,0,7,7
1575352800,3,3,5,5,5,5,0,0,0,0,0,0
1575354600,15,15,0,0,0,0,51,51,11,11,0,0
1575356400,0,0,0,0,0,0,7,7,41,41,0,0
1575365400,0,0,0,0,0,0,9,9,62,62,0,0
1575367200,0,0,0,0,0,0,10,10,0,0,0,0
1575358200,0,0,0,0,10,10,0,0,0,0,0,0
1575360000,4,4,0,0,0,0,0,0,0,0,0,0
1575361800,4,4,6,6,5,5,33,33,0,0,26,26
1575363600,0,0,3,3,0,0,6,6,0,0,10,10
1575370800,0,0,0,0,4,4,0,0,31,31,0,0
1575372600,28,28,0,0,0,0,0,0,0,0,0,0
1575374400,30,30,4,4,0,0,0,0,0,0,0,0
1575378000,14,14,14,14,0,0,9,9,0,0,5,5
1575379800,9,9,13,13,8,8,43,43,0,0,0,0
1575381600,9,9,3,3,0,0,5,5,0,0,0,0
1575383400,0,0,5,5,3,3,0,0,0,0,0,0
1575385200,3,3,0,0,0,0,18,18,0,0,0,0
1575387000,20,20,8,8,9,9,0,0,0,0,0,0
1575390600,0,0,0,0,3,3,0,0,5,5,0,0
1575392400,2,2,3,3,0,0,0,0,0,0,0,0
1575396000,2,2,0,0,0,0,0,0,0,0,0,0
1575399600,3,3,0,0,0,0,0,0,0,0,0,0
1575401400,0,0,3,3,0,0,0,0,0,0,0,0
1575410400,0,0,0,0,0,0,6,6,0,0,0,0
1575412200,10,10,0,0,0,0,49,49,0,0,0,0
1575419400,10,10,0,0,0,0,0,0,0,0,0,0
1575417600,0,0,4,4,4,4,0,0,0,0,0,0
1575421200,9,9,3,3,0,0,5,5,0,0,0,0
1575423000,0,0,0,0,4,4,0,0,0,0,0,0
1575424800,0,0,4,4,0,0,0,0,0,0,0,0
1575426600,4,4,0,0,0,0,25,25,0,0,0,0
1575432000,4,4,0,0,0,0,0,0,0,0,0,0
1575437400,0,0,0,0,0,0,27,27,0,0,0,0
1575439200,12,12,5,5,10,10,19,19,23,23,43,43
1575441000,0,0,0,0,0,0,5,5,0,0,0,0
